ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason
SNOW,2024-08-21,2024-08-22,135.06,127.6811,6,-44.27,-5.46,stop_loss
SOFI,2024-08-29,2024-09-04,8.03,7.4839,87,-47.51,-6.8,stop_loss
PLTR,2024-08-09,2024-09-09,30.01,34.6,19,87.21,15.29,target1
APP,2024-09-11,2024-09-13,97.57,112.58,4,60.04,15.38,target1
RBLX,2024-08-21,2024-09-24,43.35,47.11,16,60.16,8.67,target1
RBLX,2024-08-21,2024-09-26,43.35,44.87,17,25.84,3.51,target2_ema_exit
MSTR,2024-09-26,2024-10-08,165.98,192.2,2,52.44,15.8,target1
PLTR,2024-08-09,2024-10-31,30.01,41.56,19,219.45,38.49,target2_ema_exit
ABNB,2024-11-06,2024-11-07,140.91,147.37,8,51.68,4.58,target1
ABNB,2024-11-06,2024-11-08,140.91,140.91,9,0.0,0.0,trail_stop
SHOP,2024-11-08,2024-11-12,87.12,108.92,12,261.6,25.02,target1
ARM,2024-09-13,2024-11-15,147.37,134.6422,4,-50.91,-8.64,stop_loss
NET,2024-11-21,2024-12-06,104.24,112.96,6,52.32,8.37,target1
APP,2024-09-11,2024-12-10,97.57,321.06,4,893.96,229.06,target2_ema_exit
MSTR,2024-09-26,2024-12-18,165.98,349.64,2,367.32,110.65,target2_ema_exit
SHOP,2024-11-08,2024-12-18,87.12,109.7,13,293.54,25.92,target2_ema_exit
ARM,2024-12-12,2024-12-18,148.0,138.6402,9,-84.24,-6.32,stop_loss
NET,2024-11-21,2024-12-30,104.24,109.03,6,28.74,4.6,target2_ema_exit
HOOD,2025-01-15,2025-01-24,45.56,51.12,18,100.08,12.2,target1
SOFI,2025-01-21,2025-01-27,17.9,16.6199,86,-110.08,-7.15,stop_loss
SHOP,2025-01-28,2025-02-13,117.45,127.65,9,91.8,8.68,target1
ASTS,2025-02-06,2025-02-14,27.12,32.1,13,64.74,18.36,target1
HOOD,2025-01-15,2025-02-21,45.56,51.6,19,114.76,13.26,target2_ema_exit
SHOP,2025-01-28,2025-02-21,117.45,117.45,10,0.0,0.0,trail_stop
ASTS,2025-02-06,2025-02-25,27.12,27.12,13,0.0,0.0,trail_stop
ASTS,2025-03-05,2025-03-11,33.8,28.7748,29,-145.73,-14.87,stop_loss
HIMS,2025-04-29,2025-05-06,35.04,49.47,8,115.44,41.18,target1
CELH,2025-03-31,2025-06-04,35.62,40.09,24,107.28,12.55,target1
HIMS,2025-04-29,2025-06-05,35.04,52.77,8,141.84,50.6,target2_ema_exit
ASTS,2025-05-02,2025-06-06,26.42,31.19,11,52.47,18.05,target1
SOFI,2025-04-28,2025-06-11,13.2,15.06,43,79.98,14.09,target1
ABNB,2025-06-06,2025-06-17,140.64,134.5278,17,-103.91,-4.35,stop_loss
RDDT,2025-06-17,2025-06-30,133.84,150.57,4,66.92,12.5,target1
ASTS,2025-05-02,2025-07-09,26.42,42.5,11,176.88,60.86,target2_ema_exit
CELH,2025-03-31,2025-07-16,35.62,44.45,25,220.75,24.79,target2_ema_exit
RDDT,2025-06-17,2025-07-29,133.84,144.85,5,55.05,8.23,target2_ema_exit
SHOP,2025-07-16,2025-08-06,120.0,154.9,10,349.0,29.08,target1
HIMS,2025-07-23,2025-08-06,58.02,51.7387,14,-87.94,-10.83,stop_loss
SHOP,2025-07-16,2025-08-21,120.0,136.68,10,166.8,13.9,target2_ema_exit
AFRM,2025-08-04,2025-08-29,74.79,88.46,8,109.36,18.28,target1
AFRM,2025-08-04,2025-09-11,74.79,81.41,9,59.58,8.85,target2_ema_exit
IONQ,2025-09-11,2025-09-12,47.05,55.61,14,119.84,18.19,target1
ARM,2025-09-10,2025-09-19,154.14,145.975,18,-146.97,-5.3,stop_loss
HOOD,2025-09-19,2025-09-29,124.78,136.72,8,95.52,9.57,target1
SOFI,2025-04-28,2025-09-30,13.2,26.42,43,568.46,100.15,target2_ema_exit
ASTS,2025-10-01,2025-10-02,56.94,66.16,9,82.98,16.19,target1
HOOD,2025-09-19,2025-10-14,124.78,134.95,9,91.53,8.15,target2_ema_exit
IONQ,2025-09-11,2025-10-16,47.05,65.59,15,278.1,39.4,target2_ema_exit
HIMS,2025-10-15,2025-10-17,62.76,56.5678,21,-130.04,-9.87,stop_loss
ASTS,2025-10-01,2025-10-22,56.94,71.35,10,144.1,25.31,target2_ema_exit
PLTR,2025-09-19,2025-10-29,182.39,198.81,5,82.1,9.0,target1
SOFI,2025-10-28,2025-10-30,31.66,29.0686,62,-160.67,-8.19,stop_loss
PLTR,2025-09-19,2025-11-06,182.39,182.39,5,0.0,0.0,trail_stop
ASTS,2025-12-04,2025-12-11,72.65,84.75,11,133.1,16.66,target1
ASTS,2025-12-04,2025-12-15,72.65,72.65,11,0.0,0.0,trail_stop
PLTR,2025-12-19,2025-12-30,193.38,180.9102,12,-149.64,-6.45,stop_loss
AFRM,2025-12-16,2026-01-06,73.39,82.35,16,143.36,12.21,target1
AFRM,2025-12-16,2026-01-12,73.39,76.39,17,51.0,4.09,target2_ema_exit
ASTS,2026-01-16,2026-02-05,115.77,101.7073,14,-196.88,-12.15,stop_loss
ARM,2026-02-06,2026-03-23,123.7,136.89,10,131.9,10.66,target1
